EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
2.182441,0.6231651,0.80129,1.187089
2.157324,0.6765481,0.8532187,1.187421
2.095801,0.712227,1.024643,1.326989
3.892096,1.01072,0.9426816,1.431045
4.321333,1.057365,0.8533885,1.280471
4.743145,1.025668,0.6828958,1.005733
4.615432,1.037454,0.7761911,0.8967401
4.786418,0.9732164,0.9773965,0.6650826
5.024575,0.8644907,0.8889213,0.5357719
5.795376,0.8659249,1.013615,0.7175
7.359511,0.9119879,0.9729146,0.9028547
8.536392,0.9382555,0.9123179,0.8599354
10.39374,0.6642585,0.6551815,0.6631497
12.49841,0.5161951,0.4112228,0.5127104
14.59801,0.27637,0.5017084,0.5126525
16.7569,0.001378034,0.4253358,0.5697157
19.67417,0.1050883,0.3687489,0.825936
22.78531,0.3891885,0.2415665,0.8873809
25.86732,0.4967414,0.1827172,0.7672653
29.88084,0.9761505,0.1606039,0.7115115
34.07059,1.236619,0.08306003,0.583277
40.24644,1.337462,0.3850821,0.5290206
56.57711,1.256075,0.659716,0.5314171
99.96732,1.216072,0.5723284,0.598351
185.5953,1.134265,0.359278,0.5854153
337.3579,0.6123177,0.3134289,0.5711578
563.7971,0.4970117,0.1830315,0.7256486
857.8473,0.5237406,0.123481,1.069748
1196.414,0.4061998,0.4066201,1.259924
1506.576,0.6005427,0.5821776,1.296024
1724.089,0.6170693,0.8975654,1.028112
1812.85,0.8411757,1.034341,0.9351793
1736.231,0.7939358,1.036767,0.6180523
1555.356,0.8973008,0.9402893,0.6316876
1319.245,0.9063511,0.5986146,0.7669747
1093.532,0.7676459,0.6321476,0.8846371
907.9473,0.7015032,0.4685907,0.8967145
761.3301,0.657656,0.5065913,0.9123033
632.8445,0.7216161,0.5358236,1.155106
511.0775,0.6989918,0.4855596,1.180704
391.9848,0.6594856,0.4344251,1.264624
285.6815,0.781642,0.3422727,1.422783
206.3894,0.6010344,0.2960909,1.292621
157.1447,0.624195,0.1564137,1.059706
123.0028,0.740589,0.05141621,0.8478799
99.66931,0.5651779,0.2253904,0.8438288
83.71205,0.6144769,0.2872818,0.7926502
71.55122,0.365835,0.403919,0.7674762
61.46841,0.361814,0.4187311,0.9742621
53.63789,0.4520969,0.4334387,0.8913036
48.00217,0.6162219,0.3928669,0.9812945
43.18986,0.7146187,0.3909312,0.9547493
39.22708,0.6675628,0.443299,0.9045231
37.02771,0.7180415,0.4390559,0.7412212
34.99467,0.6751527,0.3244655,0.6730642
32.81627,0.5774989,0.2043118,0.7784449
31.43509,0.6348746,0.282203,0.6929105
30.21006,0.5887771,0.3285364,0.5690776
29.1421,0.445334,0.5871696,0.7993402
28.42714,0.4104104,0.9155908,0.8353117
28.72803,0.5229982,1.041407,0.7880819
29.34778,0.5072278,1.090221,0.7945784
30.60834,0.6666377,1.122405,0.8029259
32.2585,0.6964618,1.008868,0.5008767
33.72453,0.6773564,0.832221,0.2562091
35.69179,0.5315257,0.6884476,0.2786274
38.13317,0.6635759,0.6152052,0.3847969
40.17766,1.007989,0.632749,0.5947464
42.61868,1.118656,0.6180393,0.8759233
46.80581,1.144619,0.4634464,1.021896
51.88498,1.056017,0.4299488,1.092712
56.43817,0.762583,0.3898053,1.012038
64.96409,0.4661944,0.3523532,0.8745263
88.50138,0.3958932,0.3013248,0.8503633
147.4116,0.8098887,0.2636685,0.4744498
284.4095,1.004173,0.3419254,0.2310318
524.7689,0.9611096,0.1564417,0.1493489
858.2202,0.5981294,0.177013,0.04010813
1266.01,0.2385676,0.3203876,0.1490079
1664.627,0,0.322599,0.004931564
1934.309,0.05181827,0.2420232,0.08649685
2024.644,0.5086065,0.1782864,0.003170964
1909.334,0.8267682,0.2700257,0.006629776
1659.76,0.971443,0.126184,0.007853297
1363.391,0.8720446,0,0.0266325
1113.131,0.7020389,0,0
921.2756,0.4838119,0,0
758.2881,0.4251114,0.01018099,0
607.8774,0.3618189,0.1654429,0.001882505
461.6108,0.2332093,0.3680492,0.04858082
328.4037,0.4569633,0.2590455,0.1799573
232.9389,0.7010956,0.2819715,0.3229676
171.9225,0.5073933,0.3053717,0.4426042
135.5446,0.3573328,0.2611948,0.4498248
111.1219,0.1285859,0.3760552,0.3505586
93.61108,0,0.5055833,0.4088959
79.49522,0.04729412,0.3482887,0.351677
68.58897,0.1861953,0.1109177,0.1340869
61.32854,0.3774523,0.001905119,0.00925639
57.33812,0.2038062,0.04919821,0
55.84924,0.004600373,0.03464665,0
54.65956,0,0,0
53.13929,0,0,0.05862544
51.23261,0,0,0
50.70898,0,0,0
51.5904,0.01150458,0,0
51.36481,0.001587736,0,0
52.30573,0,0.07751441,0
53.52208,0.07762866,0.1404174,0
54.49644,0.02694009,0.348473,0.1119817
55.21217,0,0.2492916,0.2858928
57.37453,0.01823376,0.1424032,0.2420366
59.09025,0.06055788,0.02859605,0.03177297
65.22016,0.06079376,0,0
83.18151,0,0.01788885,0
132.3314,0,0.002427043,0.04060518
226.727,0.05937989,0,0.360253
386.477,0,0.0526117,0.6676318
599.7041,0.04181564,0.04191281,0.8234867
876.6273,0.1475154,0.003083511,0.5440828
1176.932,0.1390289,0,0.2055625
1450.107,0.01889844,0,0.003932915
1647.711,0.01692629,0.1532533,0.0259565
1733.179,0.05689177,0.462715,0.1844973
1697.714,0,0.581153,0.5154303
1572.537,0.1055293,0.8604339,0.9945069
1416.32,0.3495329,1.015595,1.155461
1250.716,0.6029106,1.182279,1.236714
1082.903,0.8795647,1.249219,1.458442
908.1409,1.014566,1.590674,1.625282
730.5415,1.227152,1.722682,1.729834
551.2128,1.394603,1.563443,1.898879
397.5558,1.369382,1.624978,2.182543
277.3781,1.375348,1.71899,2.252464
197.0129,1.440238,2.071112,2.234421
146.0984,1.753589,2.258062,2.34558
115.6505,2.0986,2.592253,2.50778
99.37486,2.507432,2.806626,2.795339
88.64868,3.172198,3.160902,3.051408
81.75513,3.771755,3.412402,3.369746
78.03007,4.247425,3.651206,3.573964
76.05424,4.457566,3.950006,3.601908
75.12924,4.520458,4.082633,3.518879
72.87169,4.425483,4.088533,3.440606
72.3952,4.223554,4.059415,3.555812
73.22313,4.233862,4.139963,3.582165
73.77426,4.488455,4.179684,3.621614
73.99376,4.955728,4.134346,3.766039
79.12731,5.097911,4.198304,3.788107
97.37922,5.216726,4.256299,3.653976
136.8221,5.518856,4.328983,3.823008
213.9659,5.662225,4.600956,3.987951
347.2532,5.88525,4.939775,4.0569
538.5511,6.075289,5.367993,4.160302
798.1165,6.694059,5.661171,4.203382
1098.705,7.145217,5.825683,4.120908
1405.077,7.626356,5.93629,4.101752
1657.77,8.144148,6.131556,4.35428
1797.508,8.964976,6.59552,4.548656
1826.954,9.535447,7.119109,4.77591
1756.153,10.28224,7.715403,5.071691
1611.161,11.21836,8.423853,5.144766
1434.629,11.98216,9.091326,5.416489
1245.046,13.17932,9.905832,5.652715
1039.521,14.66016,10.74355,5.900963
827.4648,16.86535,11.8376,6.251169
629.1326,19.25689,13.08641,6.678219
453.1428,22.35884,14.6065,7.144614
310.4334,26.22492,16.65759,7.515363
212.3479,30.4356,19.61854,8.220057
148.9956,35.6503,23.28943,8.971401
111.5916,41.41133,27.3298,9.826943
89.89645,48.65696,31.5263,10.8246
74.61399,56.33187,36.00082,12.20204
65.1655,64.8543,41.19824,13.58376
57.37255,79.47311,47.82869,15.12168
52.14178,104.2237,54.85859,17.28607
46.75249,148.9718,71.56372,20.12512
43.7015,230.3838,108.3057,23.44607
40.24426,340.8777,169.4189,27.38992
37.62397,474.6613,245.9937,31.71349
36.32081,625.1009,336.2317,37.01152
34.59985,748.9768,440.8861,49.05564
34.1765,816.6413,528.7798,65.53463
34.02173,804.9597,568.6599,83.62601
35.11987,737.7667,549.0167,100.5138
36.60774,631.837,485.1519,115.8469
39.21387,511.1051,388.5228,127.6444
42.62607,410.8641,287.3575,126.7449
46.04728,329.8345,210.7059,115.2065
48.97171,262.0145,165.138,96.08238
51.35125,203.3205,131.589,70.45177
52.81575,154.1477,101.7853,44.76168
54.04784,116.1591,77.38769,24.76311
56.58368,87.40186,58.93745,16.72513
59.22499,65.74014,44.71061,13.59723
61.05902,51.0745,33.90793,11.29264
63.37008,40.36057,26.57517,9.618876
66.10762,32.93628,21.42221,8.457427
66.75735,28.67834,18.26714,7.859789
67.12554,25.28805,16.14566,7.607507
67.31252,22.58853,14.88649,7.301282
66.21577,20.60979,14.02143,7.51286
65.32882,18.963,13.46141,7.474411
67.09447,17.71548,12.61321,7.185501
69.80573,16.77558,11.49649,6.813928
74.58688,16.1483,10.68558,6.902591
93.13271,15.62699,10.22167,6.81831
154.94,14.88856,9.854465,6.540507
291.2877,14.14712,9.490783,6.638947
534.0263,13.46939,9.312192,6.650102
896.2155,12.95024,9.265384,6.537897
1323.857,12.51026,8.86512,6.626315
1693.526,12.06965,8.579631,6.869158
1915.543,11.6465,8.311509,7.012094
1938.242,11.14355,8.053019,6.925044
1811.835,10.65497,7.810224,6.920824
1603.131,10.22569,7.641773,6.99882
1385.982,9.975952,7.756423,7.11621
1177.896,9.748256,7.573053,7.283949
952.2875,9.634953,7.657456,7.400925
725.6607,9.620833,7.693268,7.469295
514.5568,9.269932,7.808893,7.491134
343.3156,9.111863,7.839851,7.244887
230.7798,8.968544,7.991645,7.311906
159.1207,8.859639,8.18465,7.235874
121.4475,8.870531,7.979743,7.094295
100.9632,8.885162,7.809906,7.10018
90.57072,8.813133,7.750915,7.126473
82.84824,8.876671,7.727763,7.335738
78.70884,9.165724,7.720513,7.619556
75.65926,9.260962,8.006717,7.931655
73.40968,9.236658,8.330599,8.26276
73.7391,9.248179,8.526701,8.217208
76.34644,9.175787,8.660517,8.366094
77.508,9.059299,8.715998,8.409864
77.7814,9.460464,8.855905,8.522812
77.35928,9.942368,9.249516,8.825638
78.05479,10.1017,9.515074,9.251374
78.73662,10.11148,9.666858,9.516329
80.92796,10.23087,9.69384,9.668557
83.87894,10.24209,9.742412,10.03297
84.54099,10.51157,9.974553,10.45748
84.35481,11.18059,10.58598,10.87781
83.67835,11.87597,11.44184,11.31028
83.07722,12.26407,12.13931,12.01899
82.81445,12.91589,12.70049,12.4115
83.71478,13.70188,13.08247,12.81192
85.59646,14.54235,13.89401,13.53767
88.81346,16.09395,15.26295,14.16504
91.24297,17.64781,16.93176,14.77123
97.97063,19.09375,18.66178,15.10972
125.3911,20.38434,19.9404,15.45812
195.0206,21.30215,20.74319,15.94634
349.2362,21.69388,21.27031,16.6095
613.9883,21.82163,21.68712,17.668
999.8707,21.9629,22.56366,19.11101
1429.437,22.48697,23.57471,20.98101
1799.875,22.99555,24.7607,22.68348
2020.03,23.88597,25.82463,24.70143
2053.386,25.03819,27.0189,26.94116
1934.687,27.04148,28.34896,29.35262
1757.065,29.6978,29.90148,31.72207
1554.418,33.40902,32.13783,34.19396
1343.634,37.80767,35.04041,37.40415
1127.323,42.83672,39.0159,41.20735
901.8741,48.245,43.83788,46.03104
692.3242,54.07438,50.46956,52.95088
529.2231,61.15405,59.79517,62.38557
411.7808,69.59891,70.8832,74.21059
329.5119,82.46954,85.9266,88.16947
275.33,98.34537,104.2866,104.6715
241.5848,117.0874,124.7598,123.8932
218.2643,139.9478,147.2569,146.3686
201.8967,163.7521,171.5653,171.1835
189.5484,188.2473,196.6658,196.6241
181.3564,210.1015,218.6035,218.4927
175.6978,230.2552,238.5106,234.9972
171.8805,246.0858,253.2989,245.4927
170.7684,255.8567,262.1588,255.183
172.6783,261.0254,267.1447,261.5295
178.6039,260.0014,267.8841,267.2818
190.7727,258.6899,264.383,281.7968
229.1948,263.3588,272.5852,333.3675
339.4003,321.3353,321.5716,491.1423
634.0167,568.5938,533.2396,913.5806
1221.308,1087.538,1019.157,1611.853
2141.219,1940.165,1814.561,2553.61
3227.184,3022.907,2876.022,3582.783
4204.011,4084.422,3932.567,4460.824
4859.749,4805.928,4740.739,4971.96
4961.524,4945.585,4975.347,4912.937
4697.93,4578.661,4696.489,4430.651
4249.682,3845.762,4049.129,3689.69
3757.385,2991.836,3235.906,2877.198
3237.868,2211.126,2470.539,2129.808
2712.926,1593.167,1825.179,1518.107
2151.77,1133.337,1343.959,1069.836
1587.301,774.9961,953.332,729.8595
1103.831,510.7522,646.5734,468.8157
766.2327,339.3914,428.5053,303.0508
521.8495,230.4931,277.0838,205.1953
364.3054,168.8471,188.4974,147.6873
256.5908,128.5091,138.9094,112.9668
189.9053,99.7643,106.0376,88.22617
147.3761,80.89069,81.6759,71.14621
119.2976,67.64516,66.03551,62.11456
101.0217,57.84313,55.30903,56.50976
88.16663,50.26255,47.67548,53.52169
76.93024,43.88679,42.07158,52.03486
66.44038,38.80994,37.84232,49.63036
58.18572,35.3821,34.39071,46.46505
51.66859,32.78125,31.3963,42.24137
46.47125,30.71,28.96587,37.85734
42.08004,29.2289,27.00612,33.76397
36.52186,27.37043,25.168,30.637
31.59983,25.54456,23.72276,28.48883
28.20555,23.59801,22.71876,26.67044
25.34906,21.77813,21.98851,25.50001
23.23538,20.33377,21.35174,24.34122
20.93957,19.23868,20.79932,23.51491
18.21417,18.63062,20.18052,22.65539
15.4403,18.12465,19.46301,21.42609
12.98746,17.46629,18.64701,20.46793
11.95267,16.64632,18.18277,19.30466
11.40891,15.78972,17.69851,17.87453
9.841163,15.14301,17.25214,16.5087
7.919872,14.67983,16.83903,15.3569
5.911477,14.14433,16.71984,14.43208
3.538109,13.84518,16.73318,13.57868
2.163637,13.38293,16.62264,13.14297
1.467447,12.89353,16.35924,12.80398
1.483395,12.38498,16.04177,12.27956
0.7762638,11.92905,15.45669,11.94106
0.209297,11.76927,14.78804,11.73978
0,11.37565,14.62445,11.46842
0,11.23072,14.27351,11.36757
0,11.27048,14.0625,11.33049
0,11.10001,13.57389,11.20748
0.009283464,11.06003,13.09112,11.29034
0.03498901,10.76493,12.22881,11.42719
0.513912,10.46613,11.91444,11.62235
0.6811901,9.892488,11.63252,0
0.7838674,9.164,11.42375,0
0.3933266,8.77002,7.626246,0
0,8.570113,0,0
0,8.738861,0,0
0,9.141712,0,0
0,2.292001,0,0
0.4896502,0,0,0
0.4377621,0,0,0
0.2346331,0,0,0
0.1803256,0,0,0
0.09139259,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
